response,predictor,well,n,slope,p_value,r_squared
ER_total_mag,DTW_mean_2d,SLOC,8,-5.82718708282278,0.4905200276344416,0.08243251321357017
ER_total_mag,DTW_mean_2d,VDOS,6,-1.3070704010507577,0.8607879882634072,0.008663289123942307
ER_total_mag,DTW_mean_2d,VDOW,14,0.468572068076381,0.7166287695474214,0.01137966639258263
ER_total_mag,DTW_sd_2d,SLOC,8,45.95717301604464,0.8199871889914705,0.009332761389321802
ER_total_mag,DTW_sd_2d,VDOS,6,69.13123428194791,0.060412983772971225,0.6272174281809569
ER_total_mag,DTW_sd_2d,VDOW,14,10.69974239391009,0.17352914218562085,0.14855055571284495
ER_total_mag,fDOM_mean_2d,SLOC,8,0.013328472373196197,0.6432050402301988,0.038099850583358325
ER_total_mag,fDOM_mean_2d,VDOS,6,-7.201382028506337e-4,0.9841193297210211,1.1209534942602563e-4
ER_total_mag,fDOM_mean_2d,VDOW,14,-0.0039618029992687,0.7530348682910473,0.0085633225306403285
ER_total_mag,temp_mean_2d,SLOC,8,-0.09468929628686144,0.2578829893516414,0.20658137795005102
ER_total_mag,temp_mean_2d,VDOS,6,-0.10402801413339906,0.7217197796582818,0.03524080489453835
ER_total_mag,temp_mean_2d,VDOW,14,-0.12748974198128313,0.02080166901464463,0.3708772967680612
gross_total_areal_gO2_m2,DTW_mean_2d,SLOC,18,-1.9230950554422692,0.4688772685142697,0.03326016756838323
gross_total_areal_gO2_m2,DTW_mean_2d,SLOW,9,2.8416246008688204,0.32155926650454086,0.1397951378705694
gross_total_areal_gO2_m2,DTW_mean_2d,VDOS,10,0.44537859310443456,0.7806204204581502,0.010266064671975534
gross_total_areal_gO2_m2,DTW_mean_2d,VDOW,15,0.43547092080776617,0.7226128955036032,0.010021315736462427
gross_total_areal_gO2_m2,DTW_sd_2d,SLOC,18,48.02015136898713,0.5873242582218753,0.018812698505476323
gross_total_areal_gO2_m2,DTW_sd_2d,SLOW,9,115.80541354132964,0.47527734181059766,0.07516999607663791
gross_total_areal_gO2_m2,DTW_sd_2d,VDOS,10,30.575275556376326,0.1601307082343529,0.23057422037592118
gross_total_areal_gO2_m2,DTW_sd_2d,VDOW,15,10.167025211261318,0.17370242121451682,0.13745264106882418
gross_total_areal_gO2_m2,fDOM_mean_2d,SLOC,18,0.001517634995539304,0.9334785137767402,4.491555157996869e-4
gross_total_areal_gO2_m2,fDOM_mean_2d,SLOW,9,-0.040747563737773586,0.14648507177066,0.2758663113457557
gross_total_areal_gO2_m2,fDOM_mean_2d,VDOS,10,-0.0012962679414717944,0.9657081387386981,2.458666049669345e-4
gross_total_areal_gO2_m2,fDOM_mean_2d,VDOW,15,-0.003840588727766493,0.748173110576378,0.008205165747636186
gross_total_areal_gO2_m2,temp_mean_2d,SLOC,18,-0.031458797743914725,0.5563939183632088,0.022061792934510865
gross_total_areal_gO2_m2,temp_mean_2d,SLOW,9,0.09528465077558405,0.3286189403920534,0.13606486090407116
gross_total_areal_gO2_m2,temp_mean_2d,VDOS,10,-0.05434954661753315,0.5972926176673653,0.03644321014476289
gross_total_areal_gO2_m2,temp_mean_2d,VDOW,15,-0.12606995226705628,0.015794098030819635,0.37184340676498007
